"LAP_DISTANCE","LAP_TIME","WORLDPOSX","WORLDPOSY","THROTTLE","BRAKE","GEAR","LATERAL","SPEED_KPH","ENGINE_RPM","STEERING"
10,113.505879940177,124.997216068135,453.534069143455,1,0,8,0.278390256534792,310,11111,-0.00304809897937811
20,223.042248844643,132.139929585336,446.76120108711,1,0,8,0.27129823795923,311,11143,-0.00148085782860451
30,330.182590295013,139.460759233354,439.828966233264,1,0,8,0.262735218310109,308,11168,-0.00186696892169909
40,440.677784588121,146.559288289664,432.775247928324,1,0,8,0.272261529543684,314,11236,-0.00402520668695344
50,551.413860715248,154.28911301219,426.344969291915,1,0,8,0.216082886904588,316,11330,-0.00281051627605345
60,660.321531668019,161.333373998222,419.236091565599,1,0,8,0.232390807613158,316,11319,-0.000343419745941386
70,768.608172061463,168.594886349425,412.5276609323,1,0,8,0.215532482335272,315,11289,-0.00143859520388332
80,878.956214190856,175.695470805348,405.31949193869,1,0,8,0.234290282150495,318,11379,-0.00191482869912002
90,985.979856260196,182.920324889073,398.334276619536,1,0,8,0.234661091302603,320,11461,-0.00115151907950175
100,1094.36714668134,190.338845011565,391.699752565474,1,0,8,0.206964487844319,319,11427,0.000419142157803092
110,1201.37242085048,197.364271838436,384.638848493398,1,0,8,0.224143188737756,322,11511,0.000618015962875932
120,1310.10223829226,204.326411340127,377.536689472765,1,0,8,0.247657630009749,322,11526,-0.0022182678561823
130,1416.04677128845,212.031655936855,371.160393731302,1,0,8,0.195964443588886,324,11580,0.00361770910355611
140,1523.0830431278,219.26735336738,364.208529273936,1,0,8,0.197350897324965,324,11577,0.00528170715438851
150,1630.87570060522,226.320240981249,356.916764589809,1,0,8,0.22345968996689,326,11657,-0.00109420918020989
160,1736.61214530156,233.972994327738,350.531077034167,1,0,8,0.170099445335905,325,11616,0.00123373736584064
170,1841.81062344955,240.945404205809,343.515034841983,1,0,8,0.18336830559159,328,11719,0.000505523934752026
180,1946.041037737,248.229737129446,336.633904474903,1,0,8,0.174750712773955,326,11659,-0.00042659628915344
190,2050.64697426583,255.604087913967,329.680469250453,0.985422932409765,0,8,0.166892940872387,329,11747,-0.000616118334535716
200,2156.06656962547,263.040777659704,323.059837410691,1,0,8,0.139824759485316,327,11697,0.00200286933640902
210,2263.10242519672,270.001836380612,315.918939946766,1,0,8,0.164214492582528,329,11747,0.00268280693847746
220,2364.75781454325,277.669792178477,309.327071148539,1,0,8,0.124929910738678,328,11738,0.000854233109299871
230,2470.07681862466,284.598402642172,302.329226417395,0.968860976781154,0.00987745617897095,8,0.143499077809731,332,11862,0.000221284477299895
240,2575.48885012426,291.950803946068,295.394338925342,0.95854503789573,0.0207817662871437,8,0.138897717256345,332,11850,0.00324503085171902
250,2681.13520177892,299.001464133413,288.269293308107,0.860178213079858,0.157196940251459,8,0.158809049919953,332,11791,0.00905242602824953
260,2788.75750315183,306.447082891884,281.64280777502,0.604532339525247,0.441604870243334,8,0.136220825686976,328,11551,0.00604158362169503
270,2895.58264572123,313.595854393091,274.718521025653,0.0711419657413359,0.910507977942069,8,0.141191111140426,317,10984,0.0138005709646544
280,3006.01046530794,320.88761799077,267.706107872488,0.267129563882321,0.680309881875466,8,0.142464206705469,305,10547,0.00835412181446461
290,3122.35044614557,328.080153806281,260.755127169375,0.0518306633798155,0.843499063492958,8,0.144314282381022,298,10189,0.0182840888187015
300,3245.07906661073,335.20020673933,253.744511047398,0.00340007272999766,0.922445429922135,8,0.150862466704655,280,9739,0.0322034015765305
310,3375.18937020126,342.280479953749,246.724673341218,0.00782020367232245,0.955639965647701,7,0.15737010889268,262,10218,0.0712517765103204
320,3517.38612158591,349.312602755948,239.597710243941,0.00047054469265963,0.912307487840617,7,0.17104585865977,244,10003,0.121457110025484
330,3668.72452757644,355.754060741775,231.858072709958,0.00762035846710205,0.888931906012354,6,0.239652078115399,224,9827,0.222901514345052
340,3835.95543487308,361.853406186978,223.769515505478,0.00155426733143693,0.839944654664781,6,0.331996805043179,208,9471,0.318564391481271
350,4019.85422890499,367.731919726177,215.482073279392,0.00777429056741378,0.872416204353137,5,0.435153444205995,189,9595,0.392231153581163
360,4227.14561398809,372.785233316499,206.525371206055,0.0417618547295885,0.719398060728561,5,0.598059847059645,171,9436,0.466349095610451
370,4413.12519436666,375.103706420607,197.633098984801,0.501817736098671,0,5,0.843359640168744,172,9658,0.471712578758988
380,4504.58768908593,375.664298758805,193.125222194205,0.407727405094812,0.108519690493869,5,0.94255345780788,170,9414,0.485470064749929
390,4556.54694914314,375.833183522369,190.772541195678,0.3324814845833,0.107186859416937,4,0.970334518419808,162,9395,0.480834547518954
400,4680.49338993739,377.008093336441,184.736122108374,0.73782231291524,0.0114924907473536,4,0.835025074303252,171,9966,0.457013403971621
410,4924.79326562389,377.47580412886,172.636906285874,0.90263567263237,0,4,0.386456053891154,174,10339,0.365636494104284
420,5149.28965829727,375.749463647205,161.931117286879,0.990483167976799,0,4,0.17182332874803,175,10652,0.118578405603723
430,5355.23919538117,373.536209546839,151.891085312471,0.996604702527163,0,4,0.0528899122062134,182,11033,-0.0245519620421257
440,5548.6221618385,370.729812629544,142.228370790755,1,0,4,0.0544371155437473,190,11426,-0.0909776703483734
450,5735.81084554776,368.860075487772,132.35575181422,1,0,5,0.0529449924484503,196,10933,-0.143011189557292
460,5917.2840739445,367.422960803782,122.333658840397,1,0,5,0.0932937214840009,201,11142,-0.178885631595598
470,6090.81073476208,366.9862917073,112.209183810615,1,0,5,0.131150459773789,206,11264,-0.179369107795771
480,6265.18706720735,367.575538374076,102.097190314147,1,0,5,0.151828887265065,209,11446,-0.161929328425695
490,6437.1783225335,368.787819543891,92.0117882881358,1,0,5,0.187971178297087,214,11686,-0.168967981350189
500,6605.24715303971,370.866026634902,81.9918054428615,1,0,5,0.223227447445448,217,11745,-0.202674807892237
510,6772.27066295,374.210619377834,72.2517788772147,1,0,5,0.230404542552862,220,11405,-0.162679919627442
520,6935.75938739768,377.95721667944,62.6992867567642,1,0,6,0.274792117476788,222,10991,-0.167517648256446
530,7099.14776321222,382.594595401849,53.5025510771215,1,0,6,0.319782143344343,227,10613,-0.126937248386896
540,7262.50272136787,388.080150077122,44.6099183967485,1,0,6,0.390490256636253,229,10709,-0.161673951463522
550,7421.41658999625,394.406215359948,36.3837838041375,1,0,6,0.451233294834346,233,10747,-0.14104099945042
560,7576.70266630761,399.887587491936,27.4955372975118,1,0,6,0.653795473434724,236,10883,-0.111696444158655
570,7729.98607837533,407.201167488942,20.3137038772625,1,0,6,0.656859771096465,239,10981,-0.074342650263312
580,7881.83079534805,414.3666848926,12.9048003235416,1,0,6,0.723925824810596,241,11099,-0.0482466828171439
590,8028.8022333663,421.300508895321,5.48461144413632,1,0,6,0.83230955543458,246,11296,-0.048054613121788
600,8170.34683074044,428.762438584712,-1.19030753616448,1,0,6,0.861556093626504,248,11430,-0.0379860811369542
610,8309.96362024993,436.496343844043,-7.41375772085307,1,0,6,0.836920633460179,251,11542,-0.0109551511318159
620,8444.93791919507,444.171138072088,-13.7066415411407,1,0,6,0.813999641379543,254,11615,0.0130265804214572
630,8580.03970911797,451.345730203923,-20.4552577538772,1,0,6,0.847962575860115,256,11225,0.00674639733352954
640,8713.79622084074,459.09339521008,-26.5568798956316,1,0,7,0.780119612315458,259,11017,0.0114656973423236
650,8849.08910311058,466.661846503757,-33.3616738972168,1,0,7,0.764709941699227,263,10779,0.0175182560021413
660,8980.81122245662,474.189688646062,-39.9693264595092,1,0,7,0.740283270515351,265,10854,0.0192555064315427
670,9110.66848567087,481.405737253402,-46.827255809154,1,0,7,0.753671599779738,268,10869,0.0208235937992994
680,9240.1996551607,488.70316336095,-53.4901890917949,1,0,7,0.736944766234819,269,11007,0.0211326951245184
690,9363.84748841312,496.148694850074,-59.8593382416475,1,0,7,0.676517358285357,270,11078,0.030488510106935
700,9488.55841837419,502.983476603819,-66.9978541296085,1,0,7,0.70291690782851,275,11119,0.0139809998783432
710,9612.95189253493,509.592019380529,-74.515969181889,1,0,7,0.763396049878635,277,11196,0.0211099966621599
720,9738.99937784391,516.531525853684,-81.6872783023724,1,0,7,0.76351534290236,280,11298,0.0138492724539812
730,9864.2085293185,523.688418705616,-88.529553976152,1,0,7,0.711180209089402,281,11359,0.0154437958100218
740,9986.22666390913,530.485858888551,-95.8652396797026,1,0,7,0.715163380487181,282,11392,0.00943740006798916
750,10106.4657468304,537.66872252263,-102.972527086045,1,0,7,0.665815607841422,287,11582,0.011089162413219
760,10226.9791237032,543.881033040656,-110.75605549525,1,0,7,0.732966242709541,287,11581,0.00861981400460162
770,10343.06148633,551.158850207635,-117.278590200465,1,0,7,0.621615034484512,288,11495,0.0162798051383498
780,10462.972160442,557.59041145232,-125.113360898168,1,0,7,0.6633532121943,292,11236,0.00843373358731156
790,10579.4349008164,565.042203712678,-131.828228315599,1,0,8,0.544510601250624,291,11069,0.019094791776659
800,10698.0575367469,570.955914971758,-139.862610232803,1,0,8,0.629742255477624,294,10859,0.0163254751033371
810,10814.104241742,577.133860657483,-147.679509054383,1,0,8,0.669129634304898,296,10746,0.0142534706860269
820,10930.6194915502,584.551561437801,-154.329854291811,1,0,8,0.519910213585741,297,10733,0.0119717525440098
830,11046.5674029601,590.053294476487,-162.562975126483,1,0,8,0.618641661961912,297,10771,0.0136246300102728
840,11160.1319058367,596.852933177884,-169.907716206668,1,0,8,0.54522601693902,299,10686,0.0158075736616773
850,11273.4267855709,602.943412312052,-177.912790865957,1,0,8,0.561328534884406,302,10742,0.0138981595980983
860,11384.2696794294,609.92743289347,-185.145026394575,1,0,8,0.446203443707078,303,10861,0.0145257418169181
870,11498.1380574594,615.25987367082,-193.532378804759,1,0,8,0.529100429461928,306,10966,0.0173237402043917
880,11612.6950131589,621.506042179713,-201.314350794947,1,0,8,0.491075014832781,308,11032,0.0196645866174137
890,11724.2271730997,627.996284430879,-208.973769411995,1,0,8,0.414772928149998,310,11099,0.0162082095876505
900,11835.7634084356,633.835755744004,-217.087246300598,1,0,8,0.41554475217598,310,11095,0.0186422452204547
