"","REFTYPE","SESSION_IDENTIFIER","FRAME","WORLDPOSX","WORLDPOSY","WORLDPOSZ","c1dist","c2dist","closeToOne","closeToTwo","inRange","distfromrandpoint","distToNext","LAP_DISTANCE_TOTAL","LAP_DISTANCE_PERC"
"5409","LEFT",18118509207215331328,862,114.942947387695,468.502136230469,3.04270935058594,380.323702008491,455.821555025334,TRUE,FALSE,TRUE,517.153680912824,0,-7.63435662044726,-0.00840659070655909
"5410","LEFT",18118509207215331328,864,116.511405944824,466.991821289062,3.03274059295654,378.148952692983,453.693707189813,TRUE,FALSE,TRUE,517.553732273223,2.17740980701061,-5.45694681343665,-0.0060089305030836
"5411","LEFT",18118509207215331328,866,117.690216064453,465.856567382812,3.02121901512146,376.514387295046,452.094667383692,TRUE,FALSE,TRUE,517.860342361113,1.63658019351189,-3.82036661992476,-0.00420680616840592
"5412","LEFT",18118509207215331328,868,119.261444091797,464.343322753906,3.00417613983154,374.33566076167,449.963677533779,TRUE,FALSE,TRUE,518.276834522372,2.18143687069417,-1.63892974923059,-0.00180471155377831
"1581","LEFT",18118509207215331328,869,120.441635131836,463.206115722656,2.99192786216736,372.698767652912,448.362880140235,TRUE,FALSE,TRUE,518.595966731184,1.63892974923059,0,0
"5413","LEFT",18118509207215331328,870,121.621696472168,462.068420410156,2.980060338974,371.061625271242,446.762024416045,TRUE,FALSE,TRUE,518.92056066135,1.63917521669609,1.63917521669609,0.00180498185088608
"264","LEFT",18118509207215331328,872,123.197952270508,460.548004150391,2.96548271179199,368.874308605693,444.623506644855,TRUE,FALSE,TRUE,519.362522987022,2.19003377708191,3.829208993778,0.0042165429702812
"265","LEFT",18118509207215331328,873,124.379661560059,459.407440185547,2.956876039505,367.233988773667,443.020005073731,TRUE,FALSE,TRUE,519.700273932582,1.64235288623083,5.47156188000883,0.00602502391984808
"4948","LEFT",18118509207215331328,874,125.562767028809,458.264831542969,2.95131635665894,365.591240572667,441.414313582404,TRUE,FALSE,TRUE,520.04399226666,1.64477751087503,7.11633939088386,0.00783617475084886
"4949","LEFT",18118509207215331328,875,126.757507324219,457.109588623047,2.94810032844543,363.931335936701,439.79195793896,TRUE,FALSE,TRUE,520.397325409462,1.66192375803059,8.77826314891445,0.00966620621438445
"266","LEFT",18118509207215331328,876,128.325897216797,455.591857910156,2.94313406944275,361.751462534581,437.661673951821,TRUE,FALSE,TRUE,520.869863669233,2.18251079538972,10.9607739443042,0.0120694833838512
"5414","LEFT",18118509207215331328,877,129.510833740234,454.443725585938,2.937087059021,360.103491547765,436.051334468179,TRUE,FALSE,TRUE,521.233904052339,1.64993405883147,12.6107080031356,0.0138863123604094
"267","LEFT",18118509207215331328,878,131.090072631836,452.912231445312,2.92627716064453,357.906211641214,433.904504220813,TRUE,FALSE,TRUE,521.727919349119,2.19987949204397,14.8105874951796,0.0163087151132276
"5415","LEFT",18118509207215331328,879,132.276596069336,451.760345458984,2.91712617874146,356.254457210674,432.290852480797,TRUE,FALSE,TRUE,522.10593648729,1.65368654624628,16.4642740414259,0.0181296761505994
"4950","LEFT",18118509207215331328,880,133.858352661133,450.223236083984,2.90373682975769,354.051411841652,430.138883614847,TRUE,FALSE,TRUE,522.61889920573,2.20559723122916,18.669871272655,0.0205583750060868
