"","REFTYPE","SESSION_IDENTIFIER","FRAME","WORLDPOSX","WORLDPOSY","WORLDPOSZ","c1dist","c2dist","closeToOne","closeToTwo","inRange","distfromrandpoint"
"5565","RIGHT",14023301428294604800,802,105.453956604004,458.697906494141,3.05727791786194,379.930579152708,453.164177420028,TRUE,FALSE,TRUE,530.57036235818
"2979","RIGHT",14023301428294604800,803,107.035415649414,457.172027587891,3.04850268363953,377.733178393101,451.003404815495,TRUE,FALSE,TRUE,530.965969563334
"2980","RIGHT",14023301428294604800,804,108.22338104248,456.026031494141,3.0413932800293,376.082682900794,449.380681493554,TRUE,FALSE,TRUE,531.268745627976
"2981","RIGHT",14023301428294604800,805,109.808959960938,454.497711181641,3.03121137619019,373.880639960671,447.216161210192,TRUE,FALSE,TRUE,531.679536056589
"2982","RIGHT",14023301428294604800,806,110.99934387207,453.351104736328,3.02231454849243,372.227998885923,445.592020444368,TRUE,FALSE,TRUE,531.99305905494
"2983","RIGHT",14023301428294604800,807,112.191627502441,452.203155517578,3.01254820823669,370.573064371084,443.965897090741,TRUE,FALSE,TRUE,532.311631667116
"5566","RIGHT",14023301428294604800,808,113.385536193848,451.054229736328,3.00139474868774,368.916289333513,442.338252689576,TRUE,FALSE,TRUE,532.635105396302
"5567","RIGHT",14023301428294604800,809,114.978645324707,449.522491455078,2.98394727706909,366.70649808057,440.167822998778,TRUE,FALSE,TRUE,533.073314212763
"5568","RIGHT",14023301428294604800,810,116.176292419434,448.371734619141,2.9701771736145,365.045781805136,438.537041616389,TRUE,FALSE,TRUE,533.407899337555
"5569","RIGHT",14023301428294604800,811,117.375343322754,447.220855712891,2.95773029327393,363.383983895406,436.905579104063,TRUE,FALSE,TRUE,533.746803328412
"5570","RIGHT",14023301428294604800,812,118.978507995605,445.682373046875,2.94418287277222,361.162309727366,434.724854191107,TRUE,FALSE,TRUE,534.207436422121
"800","RIGHT",14023301428294604800,813,120.184326171875,444.526123046875,2.93609476089478,359.491928572954,433.085652233892,TRUE,FALSE,TRUE,534.558943341703
"801","RIGHT",14023301428294604800,814,121.788818359375,442.988525390625,2.92833065986633,357.269940458329,430.905630875453,TRUE,FALSE,TRUE,535.03359662222
"802","RIGHT",14023301428294604800,815,122.995429992676,441.832763671875,2.92420101165771,355.599344344114,429.26694062981,TRUE,FALSE,TRUE,535.395879933246
"803","RIGHT",14023301428294604800,818,124.608581542969,440.287841796875,2.91720700263977,353.366056947924,427.076723350229,TRUE,FALSE,TRUE,535.887769742463
"804","RIGHT",14023301428294604800,820,125.818542480469,439.129150390625,2.91060829162598,351.691025062622,425.4343009558,TRUE,FALSE,TRUE,536.262446631499
"805","RIGHT",14023301428294604800,821,127.03133392334,437.967529296875,2.90299344062805,350.011922836577,423.788114621728,TRUE,FALSE,TRUE,536.643174412668
"806","RIGHT",14023301428294604800,822,128.250640869141,436.799835205078,2.8945939540863,348.323920395657,422.133485534979,TRUE,FALSE,TRUE,537.03082486397
"807","RIGHT",14023301428294604800,823,129.476409912109,435.625762939453,2.88544774055481,346.626840846356,420.470200862628,TRUE,TRUE,TRUE,537.425757514102
"808","RIGHT",14023301428294604800,824,131.087600708008,434.082672119141,2.8726544380188,344.396252295943,418.284463198933,TRUE,TRUE,TRUE,537.952446701952
"809","RIGHT",14023301428294604800,825,132.302062988281,432.919403076172,2.8618483543396,342.714814070352,416.63712938304,TRUE,TRUE,TRUE,538.355337582019
"810","RIGHT",14023301428294604800,826,133.52180480957,431.750854492188,2.85104274749756,341.025912076634,414.982728446565,TRUE,TRUE,TRUE,538.765153643724
"3186","RIGHT",14023301428294604800,827,135.151275634766,430.189453125,2.83885145187378,338.76946175873,412.772765554273,TRUE,TRUE,TRUE,539.32068081326
"5017","RIGHT",14023301428294604800,828,136.376098632812,429.015747070312,2.83044505119324,337.073326325647,411.111899368945,TRUE,TRUE,TRUE,539.744131862304
"5018","RIGHT",14023301428294604800,829,138.007705688477,427.452606201172,2.81814765930176,334.814142792153,408.900192518983,TRUE,TRUE,TRUE,540.315650027538
"5019","RIGHT",14023301428294604800,830,139.235870361328,426.2763671875,2.80943727493286,333.113857833737,407.236035143367,TRUE,TRUE,TRUE,540.751339888572
"3201","RIGHT",14023301428294604800,831,140.873153686523,424.70849609375,2.80110740661621,330.84732242826,405.018150837451,TRUE,TRUE,TRUE,541.339760377744
"3202","RIGHT",14023301428294604800,832,142.104797363281,423.529296875,2.79637932777405,329.142489961764,403.35029989467,TRUE,TRUE,TRUE,541.788027257401
"3203","RIGHT",14023301428294604800,833,143.341537475586,422.345916748047,2.79111218452454,327.431098556418,401.676440438357,TRUE,TRUE,TRUE,542.242556087827
"3204","RIGHT",14023301428294604800,834,144.985565185547,420.773406982422,2.78324031829834,325.156523384604,399.452320873373,TRUE,TRUE,TRUE,542.854022200232
"3205","RIGHT",14023301428294604800,835,146.219589233398,419.593231201172,2.77661156654358,323.449325021424,397.783389695268,TRUE,TRUE,TRUE,543.318654563412
"3206","RIGHT",14023301428294604800,836,147.455123901367,418.411804199219,2.7700674533844,321.740176687463,396.112905470512,TRUE,TRUE,TRUE,543.788658192064
"3207","RIGHT",14023301428294604800,838,149.107040405273,416.832092285156,2.76215243339539,319.454944590786,393.879867615086,TRUE,TRUE,TRUE,544.424929829394
"5355","RIGHT",14023301428294604800,839,150.347183227539,415.645568847656,2.75539040565491,317.73894325113,392.203371095019,TRUE,TRUE,TRUE,544.908931748539
"5356","RIGHT",14023301428294604800,840,152.001663208008,414.061614990234,2.74204540252686,315.44891298375,389.966451907621,TRUE,TRUE,TRUE,545.563276877663
"5357","RIGHT",14023301428294604800,841,153.244934082031,412.870544433594,2.72921633720398,313.727495063098,388.285250972637,TRUE,TRUE,TRUE,546.061506642434
"5358","RIGHT",14023301428294604800,842,154.901916503906,411.281097412109,2.71285223960876,311.431826460958,386.0434743385,TRUE,TRUE,TRUE,546.735069553957
"5359","RIGHT",14023301428294604800,843,156.147033691406,410.084838867188,2.70408582687378,309.705447261393,384.357769303181,TRUE,TRUE,TRUE,547.248695096927
"5360","RIGHT",14023301428294604800,844,157.804672241211,408.489685058594,2.69673776626587,307.405296227453,382.112003881033,TRUE,TRUE,TRUE,547.942484647785
"5361","RIGHT",14023301428294604800,845,159.049301147461,407.289947509766,2.69059753417969,305.676814333135,380.424524106399,TRUE,TRUE,TRUE,548.470997503475
"5362","RIGHT",14023301428294604800,846,160.295639038086,406.086944580078,2.68349862098694,303.944819546048,378.733749628886,TRUE,TRUE,TRUE,549.006636552239
"5363","RIGHT",14023301428294604800,848,161.539672851562,404.884613037109,2.67535471916199,302.214933062496,377.045179417886,TRUE,TRUE,TRUE,549.547608521002
