SESSION_IDENTIFIER,LAP_NUM,CURRENT_LAP_TIME_MS,NORMALISED_LAP_TIME_MS,maxBrake,maxBrake_S1,maxBrake_S2,maxBrake_S3,aveBrake,aveBrake_S1,aveBrake_S2,aveBrake_S3,minThrottle,minThrottle_S1,minThrottle_S2,minThrottle_S3,aveThrottle,aveThrottle_S1,aveThrottle_S2,aveThrottle_S3,ValidLap,ValidLap_4wheels,firstBrakeDist,firstBrakeLateral,firstBrakeSpeed,steeringIntensity
6231027125348401e3,3,12445,12360.639212916789,0.724299967288971,0,0.724299967288971,0,0.08280857125289852,0,0.18540326130073698,0,0,1,0,1,0.8329895181372475,1,0.626073876891359,1,0,1,0.2580461491386944,0.09898411363119926,333,0.06797030740907586
1253024774587304700,2,12479,12384.947430307517,0.8391699194908142,0,0.8391699194908142,0,0.08318287840612786,0,0.18773383566887544,0,0,1,0,1,0.8280163665597393,1,0.611853451134825,1,0,0,0.26475824413810584,0.10663040723090442,332,0.08168532313560456
4131079224770729500,4,12445,12386.021764273191,0.9600366353988647,0,0.9600366353988647,0,0.09790357359935302,0,0.2211571796485388,0,0,1,0,1,0.8313904014846735,1,0.6191229604966273,1,0,1,0.2679435706855991,0.15413324248340418,333,0.080403873000202
6231027125348401e3,2,12445,12390.988251512768,0.9340555667877196,0,0.9340555667877196,0,0.0879032708939134,0,0.19935206077726808,0,0,1,0,1,0.8424245263853175,1,0.6426413366238454,1,0,1,0.2800409805049,0.10823841459878113,333,0.07507808290072057
1233432842830075e4,2,12479,12433.889646648911,0.8725261092185974,0,0.8725261092185974,0,0.08784001954926508,0,0.20851742958423675,0,0,1,0,1,0.8100772786685673,1,0.5491554091758505,1,0,0,0.27651308189207024,0.1790901877417954,327,0.06658676099987754
11767999155862376e3,1,12528,12467.796672294837,1,0,1,0,0.10267721128229994,0,0.22967270944724996,0,0,1,0,1,0.8641531548079322,1,0.6961320568072167,1,1,1,0.28006226216881874,0.14379176401815771,331,0.0800634002970712
10851171156448092e3,7,12528,12479.384049134182,1,0,1,0,0.09715951796548054,0,0.2173305007122591,0,0,1,0,1,0.8355618980000998,1,0.6321779297370657,1,1,1,0.2540408185381277,0.1635351670589965,331,0.07213676028524765
4131079224770729500,3,12529,12482.453649103973,1,0,1,0,0.08502219359518254,0,0.19018122251553984,0,0,1,0,1,0.8195149718984666,1,0.5962834897728864,1,0,1,0.26214347643183356,0.13088595763624064,332,0.07457426788337317
104547e14,1,12562,12493.22453493586,1,0,1,0,0.07785165335344817,0,0.17707434880392142,0,0,1,0,1,0.889593718021552,1,0.7488798292254901,1,0,1,0.29043267506273485,0.16507426375925785,315,0.06612154939849367
149031e14,1,12545,12497.765968974836,1,0,1,0,0.0862721507863247,0,0.19599692508737876,0,0,1,0,1,0.9273504273504272,1,0.8349514563106796,1,1,1,0.29337660356658996,0.14956494053765293,317,0.06912983301118583
17962844060030706e3,1,12545,12508.089737179524,1,0,1,0,0.1149862073652912,0,0.25376266453029783,0,0,1,0,1,0.873640516292653,1,0.7211376911286131,1,1,1,0.26618761493048665,0.11433659643145268,332,0.07678450073747452
12092e15,1,12587,12510.656081850851,1,0,1,0,0.09417848764224149,0,0.21633078349504956,0,0,1,0,1,0.8887781950387933,1,0.7445202103861388,1,1,1,0.3071345886188364,0.11598374498493222,317,0.06552357366944787
12092e15,3,12562,12514.061548508458,1,0,1,0,0.07578870265665247,0,0.1731251737156864,0,0,1,0,1,0.868014149914163,1,0.6985029110784313,1,0,1,0.2905161426392493,0.12848584600982807,318,0.0670326845092723
146505e14,4,12604,12515.911692602846,1,0,1,0,0.08913116434051742,0,0.204736931950495,0,0,1,0,1,0.8815408849008622,1,0.7278958940297029,1,0,0,0.30218491672446296,0.07782099871467837,318,0.0883163150557304
