SESSION_IDENTIFIER,LAP_NUM,CURRENT_LAP_TIME_MS,NORMALISED_LAP_TIME_MS,maxBrake,maxBrake_S1,maxBrake_S2,maxBrake_S3,aveBrake,aveBrake_S1,aveBrake_S2,aveBrake_S3,minThrottle,minThrottle_S1,minThrottle_S2,minThrottle_S3,aveThrottle,aveThrottle_S1,aveThrottle_S2,aveThrottle_S3,ValidLap,ValidLap_4wheels,firstBrakeDist,firstBrakeLateral,firstBrakeSpeed,steeringIntensity,steeringIntensity_S1,steeringIntensity_S2,steeringIntensity_S3,steering2,timeDecreasingThrottle,timeDecreasingThrottle_S1,timeDecreasingThrottle_S2,timeDecreasingThrottle_S3,timeIncreasingThrottle,timeIncreasingThrottle_S1,timeIncreasingThrottle_S2,timeIncreasingThrottle_S3,timeSameThrottle,timeSameThrottle_S1,timeSameThrottle_S2,timeSameThrottle_S3
6231027125348401e3,3,12445,12360.639212916789,0.724299967288971,0,0.724299967288971,0,0.08482011549385955,0,0.18540326130073698,0,0,1,0,1,0.8289325833551558,1,0.626073876891359,1,0,1,0.2580461491386944,0.09898411363119926,333,0.06739801423078459,0.0012663273837225082,0.056050571632411325,0.08050614497078179,0.0802603012706078,151,0,151,0,901,0,901,0,11310,2002,4604,4704
1253024774587304700,2,12479,12384.947430307517,0.8391699194908142,0,0.8391699194908142,0,0.0852624503662808,0,0.18773383566887544,0,0,1,0,1,0.8237167757237333,1,0.611853451134825,1,0,0,0.26475824413810584,0.10663040723090442,332,0.0811661224365055,7.059145164845837e-4,0.06935707704350541,0.09907095788528555,0.09572856526912489,234,0,234,0,801,0,801,0,11361,2002,4404,4955
4131079224770729500,4,12445,12386.021764273191,0.9600366353988647,0,0.9600366353988647,0,0.09987743597030778,0,0.2211571796485388,0,0,1,0,1,0.8279910144178315,1,0.6191229604966273,1,0,1,0.2679435706855991,0.15413324248340418,333,0.08010851544950706,6.885686500622838e-4,0.06673983228186747,0.08759159469425012,0.09624406534909044,450,0,450,0,1752,0,1752,0,10210,2052,3404,4754
6231027125348401e3,2,12445,12390.988251512768,0.9340555667877196,0,0.9340555667877196,0,0.09002996293166934,0,0.19935206077726808,0,0,1,0,1,0.8386122165398014,1,0.6426413366238454,1,0,1,0.2800409805049,0.10823841459878113,333,0.07430887167357443,5.740272167945728e-4,0.062111999338415,0.0790871064100491,0.08942222895377443,150,0,150,0,751,0,751,0,11494,2052,4704,4738
1233432842830075e4,2,12479,12433.889646648911,0.8725261092185974,0,0.8725261092185974,0,0.09032941281584332,0,0.20851742958423675,0,0,1,0,1,0.8046948533676761,1,0.5491554091758505,1,0,0,0.27651308189207024,0.1790901877417954,327,0.06587869950069783,0.0032215503144005547,0.040857477905666816,0.17393887930896584,0.07565050615211726,701,0,701,0,1051,0,1051,0,10661,2102,3604,4955
11767999155862376e3,1,12528,12467.796672294837,1,0,1,0,0.10473075550794596,0,0.22967270944724996,0,0,1,0,1,0.8614362179040908,1,0.6961320568072167,1,1,1,0.28006226216881874,0.14379176401815771,331,0.08003265035622145,0.0015942803276527361,0.06495459115649448,0.12417420293675775,0.09691229348664648,200,0,200,0,650,0,650,0,11645,2035,4856,4754
10851171156448092e3,7,12528,12479.384049134182,1,0,1,0,0.09950071116946803,0,0.2173305007122591,0,0,1,0,1,0.8315995340964882,1,0.6321779297370657,1,1,1,0.2540408185381277,0.1635351670589965,331,0.07134661262193034,0.0015053625114396021,0.05961084885242621,0.10819583637719442,0.08662301416394728,900,0,900,0,1652,0,1652,0,9910,2052,3154,4704
4131079224770729500,3,12529,12482.453649103973,1,0,1,0,0.08707092115169326,0,0.19018122251553984,0,0,1,0,1,0.8151659350767436,1,0.5962834897728864,1,0,1,0.26214347643183356,0.13088595763624064,332,0.07404967764384869,6.974168843059987e-4,0.06082455740066598,0.10441466314290328,0.08950923871619251,500,0,500,0,1603,0,1603,0,10343,2002,3603,4738
104547e14,1,12562,12493.22453493586,1,0,1,0,0.07956644748017638,0,0.17707434880392142,0,0,1,0,1,0.8871618615903086,1,0.7488798292254901,1,0,1,0.29043267506273485,0.16507426375925785,315,0.06518774787794043,5.7170295474218e-4,0.05672811711423239,0.018599761050236724,0.07817615705726878,416,0,416,0,501,0,501,0,11595,2168,4689,4738
149031e14,1,12545,12497.765968974836,1,0,1,0,0.08854247054385954,0,0.19599692508737876,0,0,1,0,1,0.9254385964912282,1,0.8349514563106796,1,1,1,0.29337660356658996,0.14956494053765293,317,0.06727627942112138,3.8922678826812824e-4,0.057149942847775574,0.17187742227096273,0.08159863411403512,67,0,67,0,50,0,50,0,12345,2102,5488,4755
